Key,Description,LongDescription,Modified,Deprecated
06FL,FLENSBURG,,2006-12-21T14:39:22.83,false
06FM,MORAY FIRTH,,2006-12-21T14:39:22.83,false
06FN,FINO 1,,2015-07-08T13:17:01.927,false
06FR,FRANKEN,,2006-12-21T14:39:22.83,false
06FV,HANJIN GOTHENBURG,,2019-08-15T07:51:41.847,false
06FZ,SANTA ISABEL,,2019-06-21T12:18:59.333,false
06G0,ROBIN HOOD,,2018-01-03T09:36:31.057,false
06G1,Gauss,,2016-02-24T10:46:45.113,false
06G2,Gauss,,2016-02-24T10:46:45.12,false
06G4,HATSU CRYSTAL,,2019-06-21T12:55:56.827,false
06GA,GAUSS,,2018-06-14T17:05:16.36,true
06GB,SPARKLING WAVE,,2006-12-21T14:39:22.83,false
06GC,GERBEK,,2006-12-21T14:39:22.83,false
06GD,HUSUM,,2006-12-21T14:39:22.83,false
06GE,SINE IRA,,2006-12-21T14:39:22.83,false
06GF,STERN VON RIO,,2006-12-21T14:39:22.83,false
06GG,NEW LOVE,,2006-12-21T14:39:22.83,false
06GH,OSTEMAAT,,2006-12-21T14:39:22.83,false
06GI,ISAR,,2006-12-21T14:39:22.83,false
06GJ,LA LINDA,,2006-12-21T14:39:22.83,false
06GK,DEVON,,2006-12-21T14:39:22.83,false
06GL,GIGA,,2006-12-21T14:39:22.83,false
06GM,WILLIAM SHAKESPEARE,,2006-12-21T14:39:22.83,false
06GN,NEREUS,,2006-12-21T14:39:22.83,false
06GO,Grinna,,2010-03-24T14:05:40.377,false
06GP,AUDIEK,,2006-12-21T14:39:22.83,false
06GQ,DESIREE,,2006-12-21T14:39:22.83,false
06GR,GERTRUD II,,2006-12-21T14:39:22.83,false
06GS,CARSTEN,,2006-12-21T14:39:22.83,false
06GT,GERTRUD-MARTA,,2006-12-21T14:39:22.83,false
06GU,Gerda-Bianka,,2012-11-20T10:13:34.267,false
06GW,SANTA LAURA,,2019-09-23T15:11:44.03,false
06GZ,GAZELLE,,2006-12-21T14:39:22.83,false
06H1,YANTIAN EXPRESS,,2017-06-13T11:27:50.25,false
06HA,HAHNENTOR,,2006-12-21T14:39:22.83,false
06HB,H. BAUMGARTEN,,2006-12-21T14:39:22.83,false
06HC,HANAU,,2006-12-21T14:39:22.83,false
06HD,NEUWERK,,2016-09-13T12:23:27.933,false
06HE,HEIDELBERG,,2006-12-21T14:39:22.83,false
06HF,FRIEDRICH HEINCKE,,2016-02-24T10:47:06.28,false
06HG,HORNGOLF,,2006-12-21T14:39:22.83,false
06HI,MONTE ALEGRE,,2018-03-04T18:06:00.463,false
06HK,HEINCKE,,2011-08-02T12:56:55.917,false
06HL,ODIN,,2019-02-04T19:43:24.427,false
06HM,HAMMONIA,,2006-12-21T14:39:22.83,false
06HN,HANNOVER,,2006-12-21T14:39:22.83,false
06HP,HELICOPTER,,2015-01-22T12:08:28.57,true
06HQ,Annie Hillina,,2019-02-04T19:56:55.607,false
06HR,HELGOLAND REEDE,,2006-12-21T14:39:22.83,false
06HS,HERMANN SCHULTE,,2006-12-21T14:39:22.83,false
06HT,HAITHABU,,2015-03-06T11:36:31.697,false
06HU,HUNTE,,2006-12-21T14:39:22.83,false
06HV,HAITHABU,,2019-02-11T13:33:18.84,false
06HW,WALTHER HERWIG,,2018-06-12T16:49:21.553,true
06HX,HAMBURG EXPRESS,,2006-12-21T14:39:22.83,false
06HY,Hamburg Express,,2015-08-26T11:26:40.66,false
06HZ,SEOUL EXPRESS,,2018-05-03T09:18:46.357,false
06I0,Amadeus,,2014-05-14T10:39:51.057,false
06I1,IFM01,,2014-05-14T10:33:21.297,false
06I2,IFM02,,2015-09-11T19:07:50.88,false
06I3,IFM03,,2015-09-11T19:08:57.443,false
06I5,IFM05,,2014-05-14T10:31:10.543,false
06I6,IFM06,,2015-09-11T19:09:58.59,false
06I7,IFM07,,2015-09-11T19:10:40.717,false
06I8,IFM08,,2014-05-14T10:26:13.743,false
06I9,IFM09,,2015-09-11T19:11:31.16,false
06IA,IFM10,,2015-09-11T19:12:58.563,false
06IB,IFM11,,2015-09-11T19:13:37.63,false
06II,BUXCLIFF,,2019-07-08T09:11:02.81,false
06IL,HANJIN MIAMI,,2019-07-23T09:16:16.937,false
06IR,PARADISE N,,2019-03-02T02:56:28.537,false
06IT,PEENE ORE,,2019-02-26T19:24:33.397,false
06IW,HANJIN DALLAS,,2019-01-02T10:56:38.533,false
06J2,JADE,,2015-03-03T14:06:09.62,false
06J6,NAGOYA EXPRESS,,2018-05-16T09:06:07.21,false
06JA,ADLERGRUND,,2015-03-03T14:35:18.53,false
06JD,ASTARTE,,2015-03-05T13:19:32.487,false
06JF,JULIUS FOCK,,2006-12-21T14:39:22.83,false
06JH,J. H. WILHEHNS.,,2006-12-21T14:39:22.83,false
06JI,BONN,,2020-02-06T10:55:42.147,false
06JM,JOHANNES MULLER,,2006-12-21T14:39:22.83,false
06JR,Clupea,,2020-09-28T11:15:38.377,false
06JS,Clupea,,2016-02-24T10:47:19.273,false
06JW,JAN WELLEM,,2006-12-21T14:39:22.83,false
06JX,DENEB,,2009-07-29T11:55:41.46,false
06K1,Komet,,2009-12-15T16:49:58.63,false
06K2,KOMET,,2016-02-24T10:47:24.78,false
06K3,Komet,,2016-02-24T10:47:24.773,false
06K4,HERMANN WULFF,,2019-07-23T09:55:08.997,false
06KA,KATJANA,,2006-12-21T14:39:22.83,false
06KB,KOELN ATLANTIC,,2006-12-21T14:39:22.83,false
06KF,KAP FARVEL,,2006-12-21T14:39:22.83,false
06KI,F. S. KIEL,,2006-12-21T14:39:22.83,false
06KL,HELGOLAND,,2008-02-06T17:07:12.073,false
06KM,KOMET,,2018-06-12T16:50:00.12,true
06KN,Helmsand,,2009-01-29T15:19:40.073,false
06KO,KOLMAR,,2006-12-21T14:39:22.83,false
06KQ,Gracechurch Comet,,2009-12-03T16:28:12.233,false
06KR,KIRA,,2006-12-21T14:39:22.83,false
06KW,W. KORTE,,2006-12-21T14:39:22.83,false
06KY,KYBFELS,,2006-12-21T14:39:22.83,false
06L4,HANJIN MUNDRA,,2019-12-12T09:00:17.39,false
06L5,EVER CONQUEST,,2018-12-24T08:59:21.363,false
06L6,NORTHERN MONUMENT,,2020-03-10T08:34:14.927,false
06LA,LANGEOOG,,2006-12-21T14:39:22.83,false
06LB,LILLOOET,,2006-12-21T14:39:22.83,false
06LD,OELAND,,2016-02-24T11:50:24.967,false
06LE,LEILA,,2006-12-21T14:39:22.83,false
06lf,ROUTE: LIST - BODETSHAFEN,,2009-12-11T15:02:40.33,false
06LI,LINZERTOR,,2006-12-21T14:39:22.83,false
06ll,ROUTE: LIST - ELLENBORGEN,,2009-12-11T15:02:40.49,false
06LO,Ludwig Prandtl,,2010-03-24T14:05:43.353,false
06LT,LITTORINA,,2009-09-10T11:32:47.83,false
06LU,Mya,,2015-11-05T12:26:48.46,false
06LW,NAVY SHIP,,2016-02-24T11:50:24.72,true
06M1,Meerkatze,,2015-05-29T12:46:43.883,false
06M2,MARIA S. MERIAN,,2016-02-24T11:55:51.54,false
06M3,METEOR,,2009-09-04T14:58:22.06,false
06M4,MARIKA,,2011-06-05T18:04:20.767,false
06M5,METEOR,,2017-12-04T13:02:37.09,false
06M6,Mya II,,2022-03-10T14:38:28.353,false
06M7,MERKUR SKY,,2015-05-21T11:06:43.363,false
06MA,MAX WALDECK,,2006-12-21T14:39:22.83,false
06MB,MONTE ROSA,,2015-10-12T17:35:36.423,false
06ME,METEOR,,2013-08-15T17:45:30.677,false
06MF,Ramona,,2013-06-21T11:25:12.27,false
06MI,MINSEROOG,,2006-12-21T14:39:22.83,false
06MK,MAKRELE,,2006-12-21T14:39:22.83,false
06MM,Maria S. Merian - Oland,,2014-12-04T20:32:07.3,true
06MN,Maret,,2012-11-20T10:04:01.043,false
06MO,MOWE,,2006-12-21T14:39:22.83,false
06MP,Senckenberg,,2009-11-27T11:26:13.727,false
06MR,MEERKATZE,,2015-05-29T12:31:48.853,false
06MS,STRELASUND,,2014-08-13T19:17:52.66,false
06MT,METEOR,,2016-02-24T10:47:45.337,false
06MX,MOSEL EXPRESS,,2006-12-21T14:39:22.83,false
06N4,Meerkatze,,2015-05-21T11:26:01.843,false
06ND,NORDSEE,,2006-12-21T14:39:22.83,false
06NE,NEPTUN,,2006-12-21T14:39:22.83,false
06NI,Walther Herwig III,,2020-09-30T14:20:29.317,false
06NN,MONTE AZUL,,2012-12-06T13:09:59.733,false
06NO,NORDERNEY,,2006-12-21T14:39:22.83,false
06NQ,Clupea,,2020-09-09T13:06:46.067,false
06NR,Strelasund,,2014-08-21T10:38:32.397,false
06NU,ALEXANDER VON HUMBOLDT 2,,2016-05-11T11:41:23.31,false
06NV,NEDLLOYD VAN CLOON,,2006-12-21T14:39:22.83,false
06NX,Nixe II,,2012-11-20T09:57:35.49,false
06OA,MELLUM,,2016-09-13T12:23:27.41,false
06OR,CMA CGM ORCHID,,2012-12-06T12:58:44.57,false
06OS,OSTE,,2006-12-21T14:39:22.83,false
06OT,ANTWERPEN EXPRESS,,2017-12-19T11:44:30.29,false
06P1,POSEIDON,,2011-06-05T20:40:45.367,false
06P2,Planet,,2016-02-24T10:47:50.107,false
06P3,Planet,,2009-09-10T11:34:25.947,false
06P8,LV P11/P8,,2006-12-21T14:39:22.83,false
06PA,PANTHER,,2006-12-21T14:39:22.83,false
06PB,PAUL BENEKE,,2006-12-21T14:39:22.83,false
06PC,Planet,,2016-02-24T10:47:53.77,false
06PD,Prospekta,,2011-09-28T20:15:47.497,false
06PE,PEBANE,,2006-12-21T14:39:22.83,false
06PI,SEATRAIN PRINCETON,,2006-12-21T14:39:22.83,false
06PK,PROFESSOR ALBRECHT PENCK,,2016-02-24T10:48:26.15,false
06PL,PLANET,,2016-02-24T10:47:53.763,false
06PN,PETER PAN,,2021-08-26T10:03:16.54,false
06PO,POSEIDON,,2020-09-28T11:14:21.927,false
06PP,POLAR PARAGUAY,,2006-12-21T14:39:22.83,false
06PR,PURITAN,,2006-12-21T14:39:22.83,false
06PS,POSSEHL,,2006-12-21T14:39:22.83,false
06PT,PLUTOS,,2006-12-21T14:39:22.83,false
06PU,Polarfuchs,,2010-03-24T14:05:46.397,false
06PV,HANJIN VIENNA,,2019-01-04T08:55:35.227,false
06PW,PELLWORM,,2006-12-21T14:39:22.83,false
06PZ,HATSU COURAGE,,2019-07-08T09:22:49.92,false
06Q1,SCHARHOERN,,2016-02-24T11:58:02.933,false
06Q2,MONTE PASCOAL,,2019-07-26T10:52:05.37,false
06Q9,HANJIN TAIPEI,,2019-01-04T08:55:37.663,false
06QC,KOBE EXPRESS,,2019-10-18T17:05:44.017,false
06QE,OSAKA EXPRESS,,2016-09-20T12:10:35.65,false
06QM,HONG KONG EXPRESS,,2016-11-04T11:10:24.353,false
06QQ,SANTA GIOVANNA,,2019-05-28T08:50:53.027,false
06QR,Kristin,,2021-12-16T15:31:15.07,false
06QT,MONTE ACONCAGUA,,2018-03-04T18:06:06.353,false
06QX,IFM15,,2021-02-23T20:09:28.92,false
06R7,ARKONA,,2016-02-24T11:57:48.847,false
06R8,Tuemmler,,2018-04-19T09:00:26.29,false
06RE,RUHR EXPRESS,,2006-12-21T14:39:22.83,false
06RH,RHEINLAND,,2006-12-21T14:39:22.83,false
06RO,ROTERSAND,,2006-12-21T14:39:22.83,false
06RQ,EVER CHIVALRY,,2018-12-24T08:59:20.617,false
06RS,HANJIN GENEVA,,2019-01-02T10:56:39.24,false
06RT,URTE,,2006-12-21T14:39:22.83,false
06RU,P. H. RUSS,,2006-12-21T14:39:22.83,false
06RW,MSC ANTARES,,2017-08-01T05:10:45.397,false
06S1,Solea,,2020-09-28T11:14:21.977,false
06S2,S-2,,2015-10-02T02:04:00.353,false
06S3,DUBLIN EXPRESS,,2016-02-24T11:58:08.133,false
